city,datetime,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
Cairo,2025-05-01 00:00:00,2.0,116.07,0.0,2.18,86.51,2.07,7.13,35.46,20.4
Cairo,2025-05-01 01:00:00,2.0,115.48,0.0,2.04,88.7,2.31,7.66,37.58,16.76
Cairo,2025-05-01 02:00:00,2.0,117.94,0.0,2.32,87.79,2.72,8.21,38.78,19.93
Cairo,2025-05-01 03:00:00,2.0,120.14,0.0,2.52,86.2,3.16,8.65,39.55,22.71
Cairo,2025-05-01 04:00:00,2.0,121.18,0.0,2.94,82.45,3.36,8.93,39.09,20.96
Cairo,2025-05-01 05:00:00,2.0,123.22,0.0,3.45,77.94,3.21,9.23,38.78,19.23
Cairo,2025-05-01 06:00:00,2.0,124.99,0.0,3.9,73.66,2.97,9.58,39.08,18.44
Cairo,2025-05-01 07:00:00,2.0,126.3,0.02,4.37,69.25,2.89,9.93,39.72,17.86
Cairo,2025-05-01 08:00:00,2.0,127.93,0.48,4.25,67.73,3.2,10.35,41.53,16.68
Cairo,2025-05-01 09:00:00,2.0,128.22,0.93,3.26,71.97,3.8,10.88,45.0,14.25
Cairo,2025-05-01 10:00:00,2.0,124.85,0.49,1.6,90.52,4.54,11.39,48.6,8.74
Cairo,2025-05-01 11:00:00,3.0,120.8,0.22,0.77,103.55,3.23,10.3,43.71,5.65
Cairo,2025-05-01 12:00:00,3.0,117.84,0.14,0.48,109.64,1.94,8.02,34.78,3.62
Cairo,2025-05-01 13:00:00,3.0,116.35,0.08,0.29,109.9,0.7,4.71,21.56,1.41
Cairo,2025-05-01 14:00:00,3.0,114.71,0.08,0.27,109.37,0.42,3.68,16.95,1.01
Cairo,2025-05-01 15:00:00,3.0,113.6,0.08,0.29,109.07,0.36,3.43,15.76,0.95
Cairo,2025-05-01 16:00:00,3.0,113.44,0.08,0.31,109.36,0.33,3.45,15.97,0.93
Cairo,2025-05-01 17:00:00,3.0,112.65,0.07,0.35,108.91,0.32,3.58,17.32,0.94
Cairo,2025-05-01 18:00:00,3.0,112.38,0.06,0.44,108.23,0.33,3.85,19.49,0.99
Cairo,2025-05-01 19:00:00,3.0,113.32,0.04,0.81,106.35,0.49,4.37,22.97,1.65
Cairo,2025-05-01 20:00:00,3.0,115.22,0.0,1.27,103.5,0.77,5.06,27.16,2.6
Cairo,2025-05-01 21:00:00,3.0,116.87,0.0,1.48,101.3,0.99,5.69,30.77,3.24
Cairo,2025-05-01 22:00:00,2.0,118.26,0.0,1.92,97.51,1.32,6.26,33.36,4.71
Cairo,2025-05-01 23:00:00,2.0,121.79,0.0,2.56,93.7,1.72,6.91,35.82,6.73
Cairo,2025-05-02 00:00:00,2.0,124.8,0.0,3.05,90.09,1.84,7.51,38.12,8.24
Cairo,2025-05-02 01:00:00,2.0,125.49,0.0,3.17,86.28,1.5,7.96,39.73,8.98
Cairo,2025-05-02 02:00:00,2.0,126.53,0.0,3.18,84.1,1.18,8.46,41.64,9.38
Cairo,2025-05-02 03:00:00,2.0,127.84,0.0,3.29,83.28,1.04,9.05,44.47,9.89
Cairo,2025-05-02 04:00:00,2.0,127.65,0.0,3.77,78.65,1.04,9.51,45.48,11.71
Cairo,2025-05-02 05:00:00,2.9999659061431885,129.72,0.0,4.58,71.81,1.06,0.0,0.0,14.64
Cairo,2025-05-02 06:00:00,2.0,132.08,0.0,5.35,65.65,1.1,10.69,48.77,15.61
Cairo,2025-05-02 07:00:00,3.0,133.6,0.04,6.23,59.81,1.29,11.36,52.73,16.05
Cairo,2025-05-02 08:00:00,3.0,136.16,0.83,6.17,57.89,1.94,12.1,58.22,18.01
Cairo,2025-05-02 09:00:00,3.0,137.63,1.73,5.05,61.52,2.73,13.03,65.34,17.75
Cairo,2025-05-02 10:00:00,3.0,131.68,0.79,2.42,89.7,3.97,14.19,76.78,9.75
Cairo,2025-05-02 11:00:00,3.0,125.35,0.33,1.11,103.79,3.13,14.52,76.78,6.69
Cairo,2025-05-02 12:00:00,3.0,119.34,0.17,0.59,108.42,1.93,13.5,71.14,4.49
Cairo,2025-05-02 13:00:00,3.0,114.88,0.08,0.27,113.15,0.59,7.35,38.07,1.57
Cairo,2025-05-02 14:00:00,3.0,112.19,0.07,0.24,113.73,0.41,5.47,26.74,1.07
Cairo,2025-05-02 15:00:00,3.0,110.56,0.07,0.25,112.74,0.42,5.48,26.52,0.98
Cairo,2025-05-02 16:00:00,3.0,110.4,0.06,0.26,112.79,0.43,5.96,29.37,0.94
Cairo,2025-05-02 17:00:00,3.0,110.39,0.06,0.29,112.11,0.45,6.56,32.93,0.95
Cairo,2025-05-02 18:00:00,3.0,110.38,0.05,0.35,111.42,0.46,6.91,34.97,0.97
Cairo,2025-05-02 19:00:00,3.0,111.08,0.03,0.62,109.81,0.61,7.18,36.4,1.49
Cairo,2025-05-02 20:00:00,3.0,112.25,0.0,0.91,107.48,0.8,7.33,36.7,2.18
Cairo,2025-05-02 21:00:00,3.0,113.94,0.0,1.05,106.03,0.93,7.38,35.94,2.59
Cairo,2025-05-02 22:00:00,3.0,115.36,0.0,1.37,102.96,1.12,7.63,36.06,3.51
Cairo,2025-05-02 23:00:00,2.0,117.55,0.0,1.81,98.94,1.36,8.14,37.32,4.77
Cairo,2025-05-03 00:00:00,2.0,119.22,0.0,2.12,94.66,1.46,8.69,38.99,5.76
Cairo,2025-05-03 01:00:00,2.0,118.75,0.0,2.22,89.66,1.29,9.05,39.75,6.5
Cairo,2025-05-03 02:00:00,2.0,118.54,0.0,2.23,85.09,1.05,9.4,40.42,7.35
Cairo,2025-05-03 03:00:00,2.0,118.59,0.0,2.29,80.95,0.88,9.71,41.14,8.12
Cairo,2025-05-03 04:00:00,2.0,117.79,0.0,2.33,77.45,0.75,9.73,40.78,8.47
Cairo,2025-05-03 05:00:00,2.0,117.77,0.0,2.3,76.23,0.64,9.54,39.87,8.51
Cairo,2025-05-03 06:00:00,2.0,118.02,0.0,2.21,77.31,0.6,9.12,38.53,8.42
Cairo,2025-05-03 07:00:00,2.0,116.96,0.01,2.1,79.88,0.66,8.46,37.17,8.04
Cairo,2025-05-03 08:00:00,2.0,116.78,0.17,1.92,83.22,0.89,7.92,36.62,7.57
Cairo,2025-05-03 09:00:00,2.0,116.86,0.33,1.48,88.86,1.08,7.51,36.52,6.5
Cairo,2025-05-03 10:00:00,3.0,116.27,0.21,0.8,101.04,0.98,6.78,34.6,3.89
Cairo,2025-05-03 11:00:00,3.0,115.81,0.13,0.47,106.6,0.8,6.02,30.28,2.67
Cairo,2025-05-03 12:00:00,3.0,115.61,0.1,0.34,107.54,0.64,5.48,26.99,1.99
Cairo,2025-05-03 13:00:00,3.0,116.54,0.07,0.24,107.4,0.4,3.67,16.45,1.07
Cairo,2025-05-03 14:00:00,3.0,115.66,0.06,0.24,105.72,0.28,2.56,10.96,0.82
Cairo,2025-05-03 15:00:00,3.0,114.27,0.07,0.25,104.28,0.24,2.16,9.59,0.79
Cairo,2025-05-03 16:00:00,3.0,114.35,0.06,0.28,104.34,0.22,1.88,8.64,0.77
Cairo,2025-05-03 17:00:00,3.0,114.07,0.06,0.31,103.64,0.2,1.63,7.91,0.76
Cairo,2025-05-03 18:00:00,3.0,114.04,0.05,0.37,102.95,0.19,1.48,7.52,0.76
Cairo,2025-05-03 19:00:00,3.0,115.33,0.03,0.57,102.25,0.24,1.51,8.01,1.02
