YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,City
2025,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,1,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,1,1,6,5.62,5.62,2.45,8.23,2.28,2.28,0.3,0.0,0.0,Aswan
2025,1,1,7,134.6,135.57,342.24,68.86,57.8,58.15,6.12,0.03,0.12,Aswan
2025,1,1,8,346.42,348.05,640.07,108.12,152.48,153.15,17.15,0.2,1.0,Aswan
2025,1,1,9,531.92,533.25,787.08,122.55,235.5,236.02,28.62,0.52,2.58,Aswan
2025,1,1,10,658.75,664.75,837.21,137.2,291.83,294.33,36.87,0.84,4.15,Aswan
2025,1,1,11,710.7,717.3,753.03,185.25,313.13,315.9,39.61,0.97,4.85,Aswan
2025,1,1,12,706.58,710.4,756.61,183.56,311.33,312.85,39.33,0.96,4.78,Aswan
2025,1,1,13,624.08,631.95,717.04,184.2,274.81,278.07,34.14,0.75,3.7,Aswan
2025,1,1,14,480.75,487.45,649.18,157.6,211.42,214.22,25.23,0.43,2.12,Aswan
2025,1,1,15,290.77,294.45,512.81,119.57,126.82,128.32,14.08,0.15,0.73,Aswan
2025,1,1,16,89.57,90.12,164.46,57.92,37.93,38.1,4.2,0.02,0.08,Aswan
2025,1,1,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,1,1,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,1,1,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,1,1,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,1,1,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,1,1,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,1,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,1,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,1,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,1,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,1,2,6,5.93,6.0,19.06,7.88,2.28,2.28,0.29,0.0,0.0,Aswan
2025,1,2,7,140.85,143.1,461.26,57.92,59.76,60.58,6.17,0.03,0.12,Aswan
2025,1,2,8,351.85,355.0,723.78,89.42,155.08,156.38,17.4,0.21,1.02,Aswan
2025,1,2,9,534.97,537.97,827.46,107.54,237.18,238.5,28.9,0.53,2.6,Aswan
2025,1,2,10,665.5,668.05,908.18,109.16,295.17,296.3,37.4,0.85,4.22,Aswan
2025,1,2,11,714.85,717.05,824.01,151.96,314.8,315.73,39.8,0.98,4.9,Aswan
2025,1,2,12,708.47,710.35,823.52,153.07,311.5,312.29,39.3,0.96,4.78,Aswan
2025,1,2,13,630.9,631.72,782.61,149.18,276.72,277.07,34.2,0.75,3.7,Aswan
2025,1,2,14,488.08,489.02,707.98,136.18,213.03,213.4,25.21,0.43,2.12,Aswan
2025,1,2,15,296.5,297.35,563.98,103.85,127.82,128.18,14.04,0.15,0.73,Aswan
2025,1,2,16,94.97,95.3,232.88,54.09,39.31,39.4,4.29,0.02,0.08,Aswan
2025,1,2,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,1,2,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,1,2,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,1,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,1,2,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,1,2,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,1,2,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,1,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,1,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,1,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,1,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,1,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,1,3,6,5.62,5.68,9.92,7.84,2.17,2.2,0.28,0.0,0.0,Aswan
2025,1,3,7,134.75,138.9,381.88,64.13,57.6,59.17,6.05,0.03,0.12,Aswan
2025,1,3,8,339.3,350.65,649.88,104.74,149.53,154.38,16.9,0.21,1.02,Aswan
2025,1,3,9,516.95,535.38,772.24,126.51,228.92,236.9,27.98,0.52,2.58,Aswan
2025,1,3,10,643.12,667.97,836.93,144.61,284.45,295.3,36.11,0.84,4.2,Aswan
2025,1,3,11,696.38,726.6,767.29,178.35,306.37,319.44,39.15,0.99,5.0,Aswan
2025,1,3,12,687.05,721.42,784.14,169.11,301.47,316.32,38.44,0.96,4.88,Aswan
2025,1,3,13,619.4,643.0,703.04,191.39,271.87,281.22,34.01,0.77,3.83,Aswan
2025,1,3,14,469.65,499.58,657.01,147.17,205.3,217.82,24.7,0.44,2.15,Aswan
2025,1,3,15,289.15,306.15,487.68,122.03,125.3,132.13,14.02,0.16,0.77,Aswan
2025,1,3,16,95.78,100.22,225.69,59.29,40.07,41.59,4.41,0.02,0.08,Aswan
2025,1,3,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,1,3,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,1,3,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,1,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,1,3,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,1,3,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,1,3,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
2025,1,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aswan
