city,Date,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN
Sharkia,2025-01-01,13.82,8.52,11.17,13.95,12.22,20.97,8.75,6.83,74.53,0.01,102.15,3.11,4.51,2.18
Sharkia,2025-01-02,12.64,8.26,10.45,12.87,12.62,20.28,7.66,6.73,76.7,0.03,102.11,3.77,5.8,2.68
Sharkia,2025-01-03,13.14,6.72,9.93,13.17,14.27,21.08,6.81,6.08,69.17,0.02,101.8,3.5,5.27,2.71
Sharkia,2025-01-04,13.94,0.5,7.22,13.7,13.81,21.96,8.15,3.97,43.58,0.0,101.15,3.35,5.32,2.63
Sharkia,2025-01-05,15.15,4.43,9.79,14.97,9.49,20.82,11.33,5.54,53.68,0.02,100.57,4.52,6.36,2.88
Sharkia,2025-01-06,16.2,11.8,14.0,16.47,9.28,21.71,12.43,8.55,77.87,0.1,101.38,4.18,5.89,1.71
Sharkia,2025-01-07,15.25,8.97,12.11,15.22,11.66,22.41,10.75,7.15,69.39,0.09,101.73,2.9,4.72,1.49
Sharkia,2025-01-08,14.12,4.24,9.18,14.34,16.03,23.17,7.14,5.17,57.83,0.0,101.55,3.04,4.31,2.34
Sharkia,2025-01-09,15.59,3.22,9.41,14.51,15.67,24.48,8.81,4.9,50.89,0.02,101.05,2.15,3.22,0.9
Sharkia,2025-01-10,14.48,5.25,9.87,14.24,11.99,21.93,9.94,5.6,56.68,0.03,100.98,3.89,6.28,2.34
Sharkia,2025-01-11,14.99,8.73,11.86,15.15,13.02,22.17,9.15,7.0,69.63,0.03,101.38,3.42,4.54,1.25
Sharkia,2025-01-12,15.39,8.15,11.77,15.53,13.67,23.03,9.36,6.69,66.2,0.0,101.58,1.82,3.05,0.55
Sharkia,2025-01-13,15.31,4.22,9.76,15.0,15.49,24.36,8.87,5.12,52.75,0.0,101.53,2.15,3.06,0.36
Sharkia,2025-01-14,15.96,1.98,8.97,14.5,12.55,23.34,10.79,4.4,42.69,0.0,101.34,1.51,2.4,0.55
Sharkia,2025-01-15,15.38,4.31,9.85,14.62,11.51,22.86,11.35,5.22,50.03,0.0,101.39,2.07,3.22,1.11
Sharkia,2025-01-16,15.53,11.7,13.62,15.59,12.26,22.78,10.52,8.47,80.62,0.0,101.79,3.62,6.68,1.65
Sharkia,2025-01-17,15.73,12.0,13.86,15.65,10.4,22.17,11.77,8.67,79.68,0.0,101.86,3.84,5.79,2.45
Sharkia,2025-01-18,14.66,8.78,11.72,14.91,13.01,22.47,9.46,7.07,71.45,0.0,101.66,3.87,5.92,2.51
Sharkia,2025-01-19,13.89,8.22,11.06,13.22,10.85,19.93,9.08,6.73,71.79,0.0,101.51,2.27,3.53,1.05
Sharkia,2025-01-20,14.27,7.12,10.7,13.84,12.79,21.5,8.71,6.23,65.49,0.0,101.48,1.8,2.93,0.74
Sharkia,2025-01-21,14.32,6.41,10.36,14.87,15.53,23.52,7.99,6.04,66.64,0.04,101.52,3.01,4.11,1.64
Sharkia,2025-01-22,16.02,9.36,12.69,16.76,12.08,23.27,11.19,7.35,70.97,0.09,101.44,2.48,4.44,1.17
Sharkia,2025-01-23,14.45,8.85,11.65,14.78,12.68,21.45,8.77,7.05,71.62,0.01,101.61,3.18,4.73,1.69
